City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,43.74,94,100,4.65,light rain
1,Bethel,US,41.3712,-73.414,54.03,86,100,8.05,overcast clouds
2,Baruun-Urt,MN,46.6806,113.2792,-14.73,84,54,4.14,broken clouds
3,Apodi,BR,-5.6642,-37.7989,92.05,36,3,8.28,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,98,7.0,overcast clouds
5,Brewster,US,41.3973,-73.6171,54.68,94,100,8.05,overcast clouds
6,Rawson,AR,-43.3002,-65.1023,73.67,37,3,4.29,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,-9.44,78,100,12.33,overcast clouds
8,Clyde River,CA,70.4692,-68.5914,-10.97,70,20,5.75,few clouds
9,Faanui,PF,-16.4833,-151.75,81.03,77,100,25.55,light rain
10,Saint-Philippe,RE,-21.3585,55.7679,80.19,79,84,10.94,broken clouds
11,Ushuaia,AR,-54.8,-68.3,56.86,62,75,10.36,broken clouds
12,Busselton,AU,-33.65,115.3333,60.35,67,2,19.6,clear sky
13,Beringovskiy,RU,63.05,179.3167,-6.43,96,99,13.24,overcast clouds
14,Bambanglipuro,ID,-7.95,110.2833,79.07,76,98,1.3,overcast clouds
15,Athabasca,CA,54.7169,-113.2854,5.41,97,100,2.3,overcast clouds
16,Kaitangata,NZ,-46.2817,169.8464,48.13,93,99,3.56,overcast clouds
17,Castro,BR,-24.7911,-50.0119,77.41,61,96,7.61,overcast clouds
18,Pevek,RU,69.7008,170.3133,-25.04,99,43,1.03,scattered clouds
19,Caravelas,BR,-17.7125,-39.2481,84.97,60,51,10.45,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,78.01,76,13,18.66,light rain
21,Jamestown,US,42.097,-79.2353,29.01,75,100,9.22,light snow
22,Wadi Maliz,TN,36.4681,8.5495,64.06,51,99,9.62,overcast clouds
23,Faya,SA,18.3851,42.4509,60.91,66,81,9.26,broken clouds
24,Cape Town,ZA,-33.9258,18.4232,81.1,46,20,9.22,few clouds
25,Cap Malheureux,MU,-19.9842,57.6142,80.47,68,37,5.01,scattered clouds
26,Klaksvik,FO,62.2266,-6.589,34.72,65,100,16.55,overcast clouds
27,Kahului,US,20.8947,-156.47,67.84,88,40,4.61,scattered clouds
28,Lorengau,PG,-2.0226,147.2712,81.84,76,98,10.45,overcast clouds
29,Qaanaaq,GL,77.484,-69.3632,2.01,92,100,5.17,overcast clouds
30,Talnakh,RU,69.4865,88.3972,-37.79,90,20,7.05,few clouds
31,Sao Filipe,CV,14.8961,-24.4956,73.85,64,2,6.33,clear sky
32,Port Alfred,ZA,-33.5906,26.891,77.18,72,20,7.0,few clouds
33,Victoria,HK,22.2855,114.1577,75.25,92,8,5.06,clear sky
34,Kaeo,NZ,-35.1,173.7833,63.32,95,56,7.02,broken clouds
35,Manggar,ID,-2.8833,108.2667,80.19,78,82,2.51,broken clouds
36,Valleyview,CA,55.0667,-117.2859,14.04,92,100,2.3,overcast clouds
37,Vaini,TO,-21.2,-175.2,78.96,94,40,2.3,moderate rain
38,Tilichiki,RU,60.4667,166.1,-7.96,86,100,9.86,overcast clouds
39,Pendleton,US,45.6721,-118.7886,51.04,68,100,10.18,overcast clouds
40,Porto Novo,BJ,6.4965,2.6036,89.42,40,22,11.83,few clouds
41,Pasinler,TR,39.9803,41.6764,27.59,44,100,1.9,overcast clouds
42,Cidreira,BR,-30.1811,-50.2056,81.01,69,59,6.8,broken clouds
43,Jardim,BR,-21.4803,-56.1381,81.64,74,36,9.37,scattered clouds
44,Poum,NC,-20.2333,164.0167,79.16,76,11,15.46,few clouds
45,Rawatsar,IN,29.2833,74.3833,58.6,34,0,9.91,clear sky
46,Tibiri,NE,13.5627,7.0485,82.74,12,9,18.41,clear sky
47,Mataura,NZ,-46.1927,168.8643,45.91,98,51,0.94,broken clouds
48,Muzhi,RU,65.3667,64.6667,-2.04,98,98,4.03,overcast clouds
49,Hithadhoo,MV,-0.6,73.0833,81.18,63,100,10.09,overcast clouds
50,Lebu,CL,-37.6167,-73.65,60.66,71,7,15.82,clear sky
51,Tiksi,RU,71.6872,128.8694,-33.74,90,100,6.24,overcast clouds
52,Hobart,AU,-42.8794,147.3294,62.26,90,52,3.44,broken clouds
53,Akureyri,IS,65.6835,-18.0878,21.13,79,75,3.44,broken clouds
54,Sampit,ID,-2.5333,112.95,76.87,89,98,3.02,overcast clouds
55,East London,ZA,-33.0153,27.9116,76.14,73,75,13.8,broken clouds
56,Hamilton,US,39.1834,-84.5333,36.88,80,100,8.01,overcast clouds
57,Wuda,CN,39.4994,106.7117,14.65,52,98,11.86,overcast clouds
58,Chokurdakh,RU,70.6333,147.9167,-26.9,97,100,7.67,overcast clouds
59,Bluff,NZ,-46.6,168.3333,53.53,82,31,4.03,scattered clouds
60,Yellowknife,CA,62.456,-114.3525,-13.45,76,0,4.61,clear sky
61,Severo-Kurilsk,RU,50.6789,156.125,21.56,83,100,7.56,overcast clouds
62,Dutse,NG,11.7594,9.3392,83.35,11,19,10.47,few clouds
63,Eluru,IN,16.7,81.1,75.29,77,99,6.67,overcast clouds
64,Iquitos,PE,-3.7481,-73.2472,78.84,89,0,3.44,clear sky
65,Placido De Castro,BR,-10.3353,-67.1856,83.91,58,93,5.91,overcast clouds
66,Bredasdorp,ZA,-34.5322,20.0403,77.86,45,0,18.32,clear sky
67,Chulym,RU,55.0997,80.9572,7.68,93,99,12.12,overcast clouds
68,Chumikan,RU,54.7183,135.315,-13.02,68,93,9.84,overcast clouds
69,Punta Arenas,CL,-53.15,-70.9167,59.11,72,75,28.77,light intensity shower rain
70,Iqaluit,CA,63.7506,-68.5145,-9.31,76,75,23.0,broken clouds
71,Taiyuan,CN,37.8694,112.5603,31.86,80,40,20.13,haze
72,Graham,US,47.0529,-122.2943,48.87,94,100,1.01,overcast clouds
73,Vagur,FO,61.4732,-6.8119,36.61,74,100,21.27,overcast clouds
74,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,45,0,19.57,clear sky
75,Ko Samui,TH,9.5357,99.9357,82.31,83,20,0.0,few clouds
76,Vanimo,PG,-2.6741,141.3028,78.21,86,100,0.54,overcast clouds
77,Yarke Pole,UA,45.608,34.3172,36.7,78,77,10.67,broken clouds
78,Tessalit,ML,20.1986,1.0114,79.72,9,92,11.05,overcast clouds
79,Ponta Do Sol,PT,32.6667,-17.1,69.01,68,2,4.65,clear sky
80,Provideniya,RU,64.3833,-173.3,-0.47,97,21,9.13,few clouds
81,Buala,SB,-8.145,159.5921,78.48,85,100,2.33,moderate rain
82,Tasiilaq,GL,65.6145,-37.6368,3.4,66,100,4.54,overcast clouds
83,Atuona,PF,-9.8,-139.0333,77.31,75,100,10.2,overcast clouds
84,Barcelona,ES,41.3888,2.159,62.8,53,0,5.75,clear sky
85,Requena,ES,39.4883,-1.1004,61.79,34,75,2.82,broken clouds
86,Korla,CN,41.7597,86.1469,11.37,84,25,3.91,scattered clouds
87,Tocopilla,CL,-22.092,-70.1979,71.53,68,14,6.11,few clouds
88,New Norfolk,AU,-42.7826,147.0587,61.92,92,54,0.98,broken clouds
89,Khatanga,RU,71.9667,102.5,-40.36,99,100,4.27,overcast clouds
90,Bengkulu,ID,-3.8004,102.2655,77.4,85,45,3.78,scattered clouds
91,Sibolga,ID,1.7427,98.7792,76.98,88,98,2.04,heavy intensity rain
92,Hermanus,ZA,-34.4187,19.2345,75.79,67,0,12.55,clear sky
93,Baoning,CN,25.3378,110.026,64.26,94,40,2.24,scattered clouds
94,Pangai,TO,-19.8,-174.35,78.91,89,20,2.3,light rain
95,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,100,6.91,overcast clouds
96,Mahebourg,MU,-20.4081,57.7,82.69,65,40,11.5,scattered clouds
97,Pilar,BR,-9.5972,-35.9567,85.93,47,91,10.54,overcast clouds
98,Xining,CN,36.6167,101.7667,10.38,63,99,5.48,overcast clouds
99,Walvis Bay,NA,-22.9575,14.5053,74.35,64,0,11.5,clear sky
100,Lagoa,PT,39.05,-27.9833,61.81,83,100,27.94,overcast clouds
101,Bosaso,SO,11.2842,49.1816,78.78,78,0,21.85,clear sky
102,Nome,US,64.5011,-165.4064,-5.78,94,12,6.06,few clouds
103,Cabo San Lucas,MX,22.8909,-109.9124,69.51,64,0,4.61,clear sky
104,Alice Springs,AU,-23.7,133.8833,88.21,40,30,3.44,scattered clouds
105,Vao,NC,-22.6667,167.4833,76.87,64,42,12.64,scattered clouds
106,Kapaa,US,22.0752,-159.319,66.18,100,6,2.51,clear sky
107,Sangar,RU,63.9242,127.4739,-60.97,100,74,0.25,broken clouds
108,Pisco,PE,-13.7,-76.2167,70.02,83,89,3.44,mist
109,Etchoropo,MX,26.7667,-109.6667,59.04,41,0,7.31,clear sky
110,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,17.27,scattered clouds
111,Hilo,US,19.7297,-155.09,72.28,78,15,7.0,few clouds
112,La Ronge,CA,55.1001,-105.2842,7.05,85,100,2.3,overcast clouds
113,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,27.0,scattered clouds
114,Sioux Lookout,CA,50.1001,-91.917,-11.11,100,100,4.5,overcast clouds
115,Te Anau,NZ,-45.4167,167.7167,48.87,93,45,1.97,scattered clouds
116,Christchurch,NZ,-43.5333,172.6333,55.6,77,75,4.61,broken clouds
117,Hualmay,PE,-11.0964,-77.6139,71.62,73,70,7.45,broken clouds
118,Xinpu,CN,34.5997,119.1594,43.61,84,100,14.54,overcast clouds
119,Wanning,CN,18.8003,110.3967,72.01,94,4,11.01,clear sky
